id,conferenceId,speakerId
59,9,6
93,6,3
94,16,7
95,13,4
96,14,4
97,19,12
111,15,4
115,7,4
142,17,8
151,24,14
161,30,15
202,33,14
238,41,24
252,34,21
276,18,9
290,49,30
294,1,1
297,8,5
312,47,25
316,43,26
319,51,32
320,36,13
321,46,25
322,42,25
323,53,31
334,10,1
337,52,32
342,44,27
344,45,28
348,38,21
350,39,22
370,57,36
389,26,33
401,50,31
405,40,31
413,58,37
416,60,38
417,59,33
420,56,35
421,29,18
422,55,21
428,62,40
432,3,1
433,12,1
434,22,1
435,31,19
436,11,1
437,4,1
447,65,19
449,20,13
465,63,40
466,54,34
468,67,13
469,35,13
470,23,13
472,21,13
474,66,13
477,37,13
479,25,15
481,5,1
482,61,39
483,32,20
486,48,29
487,64,38
490,27,16
491,28,17
